year,ngram,value
1800,""" literate programming """,0.0
1801,""" literate programming """,0.0
1802,""" literate programming """,0.0
1803,""" literate programming """,0.0
1804,""" literate programming """,0.0
1805,""" literate programming """,0.0
1806,""" literate programming """,0.0
1807,""" literate programming """,0.0
1808,""" literate programming """,0.0
1809,""" literate programming """,0.0
1810,""" literate programming """,0.0
1811,""" literate programming """,0.0
1812,""" literate programming """,0.0
1813,""" literate programming """,0.0
1814,""" literate programming """,0.0
1815,""" literate programming """,0.0
1816,""" literate programming """,0.0
1817,""" literate programming """,0.0
1818,""" literate programming """,0.0
1819,""" literate programming """,0.0
1820,""" literate programming """,0.0
1821,""" literate programming """,0.0
1822,""" literate programming """,0.0
1823,""" literate programming """,0.0
1824,""" literate programming """,0.0
1825,""" literate programming """,0.0
1826,""" literate programming """,0.0
1827,""" literate programming """,0.0
1828,""" literate programming """,0.0
1829,""" literate programming """,0.0
1830,""" literate programming """,0.0
1831,""" literate programming """,0.0
1832,""" literate programming """,0.0
1833,""" literate programming """,0.0
1834,""" literate programming """,0.0
1835,""" literate programming """,0.0
1836,""" literate programming """,0.0
1837,""" literate programming """,0.0
1838,""" literate programming """,0.0
1839,""" literate programming """,0.0
1840,""" literate programming """,0.0
1841,""" literate programming """,0.0
1842,""" literate programming """,0.0
1843,""" literate programming """,0.0
1844,""" literate programming """,0.0
1845,""" literate programming """,0.0
1846,""" literate programming """,0.0
1847,""" literate programming """,0.0
1848,""" literate programming """,0.0
1849,""" literate programming """,0.0
1850,""" literate programming """,0.0
1851,""" literate programming """,0.0
1852,""" literate programming """,0.0
1853,""" literate programming """,0.0
1854,""" literate programming """,0.0
1855,""" literate programming """,0.0
1856,""" literate programming """,0.0
1857,""" literate programming """,0.0
1858,""" literate programming """,0.0
1859,""" literate programming """,0.0
1860,""" literate programming """,0.0
1861,""" literate programming """,0.0
1862,""" literate programming """,0.0
1863,""" literate programming """,0.0
1864,""" literate programming """,0.0
1865,""" literate programming """,0.0
1866,""" literate programming """,0.0
1867,""" literate programming """,0.0
1868,""" literate programming """,0.0
1869,""" literate programming """,0.0
1870,""" literate programming """,0.0
1871,""" literate programming """,0.0
1872,""" literate programming """,0.0
1873,""" literate programming """,0.0
1874,""" literate programming """,0.0
1875,""" literate programming """,0.0
1876,""" literate programming """,0.0
1877,""" literate programming """,0.0
1878,""" literate programming """,0.0
1879,""" literate programming """,0.0
1880,""" literate programming """,0.0
1881,""" literate programming """,0.0
1882,""" literate programming """,0.0
1883,""" literate programming """,0.0
1884,""" literate programming """,0.0
1885,""" literate programming """,0.0
1886,""" literate programming """,0.0
1887,""" literate programming """,0.0
1888,""" literate programming """,0.0
1889,""" literate programming """,0.0
1890,""" literate programming """,0.0
1891,""" literate programming """,0.0
1892,""" literate programming """,0.0
1893,""" literate programming """,0.0
1894,""" literate programming """,0.0
1895,""" literate programming """,0.0
1896,""" literate programming """,0.0
1897,""" literate programming """,0.0
1898,""" literate programming """,0.0
1899,""" literate programming """,0.0
1900,""" literate programming """,0.0
1901,""" literate programming """,0.0
1902,""" literate programming """,0.0
1903,""" literate programming """,0.0
1904,""" literate programming """,0.0
1905,""" literate programming """,0.0
1906,""" literate programming """,0.0
1907,""" literate programming """,0.0
1908,""" literate programming """,0.0
1909,""" literate programming """,0.0
1910,""" literate programming """,0.0
1911,""" literate programming """,0.0
1912,""" literate programming """,0.0
1913,""" literate programming """,0.0
1914,""" literate programming """,0.0
1915,""" literate programming """,0.0
1916,""" literate programming """,0.0
1917,""" literate programming """,0.0
1918,""" literate programming """,0.0
1919,""" literate programming """,0.0
1920,""" literate programming """,0.0
1921,""" literate programming """,0.0
1922,""" literate programming """,0.0
1923,""" literate programming """,0.0
1924,""" literate programming """,0.0
1925,""" literate programming """,0.0
1926,""" literate programming """,0.0
1927,""" literate programming """,0.0
1928,""" literate programming """,0.0
1929,""" literate programming """,0.0
1930,""" literate programming """,0.0
1931,""" literate programming """,0.0
1932,""" literate programming """,0.0
1933,""" literate programming """,0.0
1934,""" literate programming """,0.0
1935,""" literate programming """,0.0
1936,""" literate programming """,0.0
1937,""" literate programming """,0.0
1938,""" literate programming """,0.0
1939,""" literate programming """,0.0
1940,""" literate programming """,0.0
1941,""" literate programming """,0.0
1942,""" literate programming """,0.0
1943,""" literate programming """,0.0
1944,""" literate programming """,0.0
1945,""" literate programming """,0.0
1946,""" literate programming """,0.0
1947,""" literate programming """,0.0
1948,""" literate programming """,0.0
1949,""" literate programming """,0.0
1950,""" literate programming """,0.0
1951,""" literate programming """,0.0
1952,""" literate programming """,0.0
1953,""" literate programming """,0.0
1954,""" literate programming """,0.0
1955,""" literate programming """,0.0
1956,""" literate programming """,0.0
1957,""" literate programming """,0.0
1958,""" literate programming """,0.0
1959,""" literate programming """,0.0
1960,""" literate programming """,0.0
1961,""" literate programming """,0.0
1962,""" literate programming """,0.0
1963,""" literate programming """,0.0
1964,""" literate programming """,0.0
1965,""" literate programming """,0.0
1966,""" literate programming """,0.0
1967,""" literate programming """,0.0
1968,""" literate programming """,0.0
1969,""" literate programming """,0.0
1970,""" literate programming """,0.0
1971,""" literate programming """,0.0
1972,""" literate programming """,0.0
1973,""" literate programming """,0.0
1974,""" literate programming """,0.0
1975,""" literate programming """,0.0
1976,""" literate programming """,0.0
1977,""" literate programming """,0.0
1978,""" literate programming """,0.0
1979,""" literate programming """,0.0
1980,""" literate programming """,0.0
1981,""" literate programming """,0.0
1982,""" literate programming """,0.0
1983,""" literate programming """,0.0
1984,""" literate programming """,0.0
1985,""" literate programming """,0.0
1986,""" literate programming """,0.0
1987,""" literate programming """,0.0
1988,""" literate programming """,2.1345737677425092e-10
1989,""" literate programming """,3.568933482078762e-10
1990,""" literate programming """,1.973333163540758e-10
1991,""" literate programming """,1.0226843677463293e-10
1992,""" literate programming """,3.9249120620254985e-10
1993,""" literate programming """,1.9639528892057e-10
1994,""" literate programming """,2.421495504112414e-10
1995,""" literate programming """,5.159810356758499e-10
1996,""" literate programming """,1.899666535187805e-10
1997,""" literate programming """,2.3964771833639986e-10
1998,""" literate programming """,6.587509426836391e-10
1999,""" literate programming """,4.643344042598585e-10
2000,""" literate programming """,5.936324209976362e-10
2001,""" literate programming """,3.4072655807904084e-10
2002,""" literate programming """,2.3988372399585955e-10
2003,""" literate programming """,1.1479089900845452e-10
2004,""" literate programming """,5.229608968093657e-10
2005,""" literate programming """,2.3725166276022946e-10
2006,""" literate programming """,7.597230483602502e-11
2007,""" literate programming """,2.2300419844079045e-10
2008,""" literate programming """,2.195929549309028e-10
2009,""" literate programming """,1.1379043540760136e-10
2010,""" literate programming """,0.0
2011,""" literate programming """,1.1715706182968688e-10
2012,""" literate programming """,2.1423765539374529e-10
2013,""" literate programming """,3.3195943216490775e-10
2014,""" literate programming """,1.3723647218633062e-10
2015,""" literate programming """,1.183098480295186e-10
2016,""" literate programming """,0.0
2017,""" literate programming """,1.5344436832265274e-10
2018,""" literate programming """,1.202050958770684e-10
2019,""" literate programming """,9.704551606759537e-10
2020,""" literate programming """,0.0
2021,""" literate programming """,0.0
2022,""" literate programming """,0.0
